{0.525, 0.902}	{0.525, 0.911}	{0.525, 0.934}	{0.525, 0.958}	{0.525, 0.979}	{0.525, 0.997}
{0.775, 1.}	{0.775, 0.999}	{0.775, 1.}	{0.775, 1.}	{0.775, 1.}	{0.775, 1.}
{1.0250000000000001, 0.159}	{1.0250000000000001, 0.284}	{1.0250000000000001, 0.92}	{1.0250000000000001, 1.}	{1.0250000000000001, 1.}	{1.0250000000000001, 1.}
{1.275, 0.06}	{1.275, 0.109}	{1.275, 0.6}	{1.275, 0.989}	{1.275, 1.}	{1.275, 1.}
{1.525, 0.046}	{1.525, 0.119}	{1.525, 0.48}	{1.525, 0.973}	{1.525, 0.999}	{1.525, 1.}
{1.775, 0.066}	{1.775, 0.148}	{1.775, 0.457}	{1.775, 0.963}	{1.775, 1.}	{1.775, 1.}
{2.0250000000000004, 0.129}	{2.0250000000000004, 0.2}	{2.0250000000000004, 0.5}	{2.0250000000000004, 0.978}	{2.0250000000000004, 1.}	{2.0250000000000004, 1.}
{2.275, 0.205}	{2.275, 0.327}	{2.275, 0.611}	{2.275, 0.988}	{2.275, 1.}	{2.275, 1.}
{2.525, 0.347}	{2.525, 0.435}	{2.525, 0.732}	{2.525, 0.992}	{2.525, 1.}	{2.525, 1.}
{2.7750000000000004, 0.55}	{2.7750000000000004, 0.57}	{2.7750000000000004, 0.806}	{2.7750000000000004, 0.997}	{2.7750000000000004, 1.}	{2.7750000000000004, 1.}
{3.025, 0.729}	{3.025, 0.716}	{3.025, 0.909}	{3.025, 0.998}	{3.025, 1.}	{3.025, 1.}
{3.2750000000000004, 0.866}	{3.2750000000000004, 0.836}	{3.2750000000000004, 0.959}	{3.2750000000000004, 1.}	{3.2750000000000004, 1.}	{3.2750000000000004, 1.}
{3.5250000000000004, 0.974}	{3.5250000000000004, 0.915}	{3.5250000000000004, 0.991}	{3.5250000000000004, 1.}	{3.5250000000000004, 1.}	{3.5250000000000004, 1.}
{3.775, 0.997}	{3.775, 0.968}	{3.775, 0.997}	{3.775, 1.}	{3.775, 1.}	{3.775, 1.}
{4.025, 1.}	{4.025, 0.993}	{4.025, 1.}	{4.025, 1.}	{4.025, 1.}	{4.025, 1.}
{4.275, 1.}	{4.275, 1.}	{4.275, 1.}	{4.275, 1.}	{4.275, 1.}	{4.275, 1.}
{4.525, 1.}	{4.525, 1.}	{4.525, 1.}	{4.525, 1.}	{4.525, 1.}	{4.525, 1.}
{4.775, 1.}	{4.775, 1.}	{4.775, 1.}	{4.775, 1.}	{4.775, 1.}	{4.775, 1.}
{5.025, 1.}	{5.025, 1.}	{5.025, 1.}	{5.025, 1.}	{5.025, 1.}	{5.025, 1.}
